Species 1,Species 2,Uncorr_pdist
CE19900,CE30774,0.0623100304
CE19902,CE30774,0.0567484663
CE2714,CE30774,0.0486322188
CE2715,CE30774,0.0486322188
CE27739,CE30774,0.0440729483
CE10522,CE3121,0.0623100304
CE10523,CE3121,0.0623100304
CE10784,CE3121,0.056231003
CE10836,CE3121,0.056231003
CE10846,CE3121,0.0503144654
CE10847,CE3121,0.056231003
CE10848,CE3121,0.056231003
CE10849,CE3121,0.056231003
CE10865,CE3121,0.0638297872
CE11349,CE3121,0.0639032815
CE16688,CE3121,0.0547112462
CE16864,CE3121,0.056231003
CE16866,CE3121,0.056231003
CE17759,CE3121,0.0623100304
CE18811,CE3121,0.0547112462
CE19894,CE3121,0
CE19895,CE3121,0
CE19900,CE3121,0.0015197568
CE19902,CE3121,0
CE2714,CE3121,0.0623100304
CE2715,CE3121,0.0623100304
CE27739,CE3121,0.0607902736
CE30774,CE3121,0.0607902736
CE10522,CE31633,0.0638297872
CE10523,CE31633,0.0638297872
CE10784,CE31633,0.0577507599
CE10836,CE31633,0.0577507599
CE10846,CE31633,0.0518867925
CE10847,CE31633,0.0577507599
CE10848,CE31633,0.0577507599
CE10849,CE31633,0.0577507599
CE10865,CE31633,0.0623100304
CE11349,CE31633,0.0639032815
CE16688,CE31633,0.056231003
CE16864,CE31633,0.0577507599
CE16866,CE31633,0.0577507599
CE17759,CE31633,0.0638297872
CE18811,CE31633,0.056231003
CE19894,CE31633,0.0015197568
CE19895,CE31633,0.0015197568
CE19900,CE31633,0.0030395137
CE19902,CE31633,0.0015337423
CE2714,CE31633,0.0638297872
CE2715,CE31633,0.0638297872
CE27739,CE31633,0.0623100304
CE30774,CE31633,0.0623100304
CE3121,CE31633,0.0015197568
CE10522,CE31676,0.0136778116
CE10523,CE31676,0.0136778116
CE10784,CE31676,0.0547112462
CE10836,CE31676,0.0547112462
CE10846,CE31676,0.0534591195
CE10847,CE31676,0.0547112462
CE10848,CE31676,0.0547112462
CE10849,CE31676,0.0547112462
CE10865,CE31676,0.0151975684
CE11349,CE31676,0.0172711572
CE16688,CE31676,0.0531914894
CE16864,CE31676,0.0547112462
CE16866,CE31676,0.0516717325
CE17759,CE31676,0.0167173252
CE18811,CE31676,0.0531914894
CE19894,CE31676,0.0668693009
CE19895,CE31676,0.0668693009
CE19900,CE31676,0.0683890578
CE19902,CE31676,0.0644171779
CE2714,CE31676,0.0167173252
CE2715,CE31676,0.0167173252
CE27739,CE31676,0.0121580547
CE30774,CE31676,0.0531914894
CE3121,CE31676,0.0668693009
CE31633,CE31676,0.0683890578
CE10522,CE3236,0.1550151976
CE10523,CE3236,0.1550151976
CE10784,CE3236,0.1565349544
CE10836,CE3236,0.1565349544
CE10846,CE3236,0.1556603774
CE10847,CE3236,0.1565349544
CE10848,CE3236,0.1565349544
CE10849,CE3236,0.1565349544
CE10865,CE3236,0.1565349544
CE11349,CE3236,0.1606217617
CE16688,CE3236,0.1550151976
CE16864,CE3236,0.1565349544
CE16866,CE3236,0.1565349544
CE17759,CE3236,0.1550151976
CE18811,CE3236,0.1550151976
CE19894,CE3236,0.1550151976
CE19895,CE3236,0.1550151976
CE19900,CE3236,0.1565349544
CE19902,CE3236,0.1549079755
CE2714,CE3236,0.1550151976
CE2715,CE3236,0.1550151976
CE27739,CE3236,0.1550151976
CE30774,CE3236,0.1550151976
CE3121,CE3236,0.1550151976
CE31633,CE3236,0.1565349544
CE31676,CE3236,0.1580547112
CE10522,CE35336,0.0623100304
CE10523,CE35336,0.0623100304
CE10784,CE35336,0.056231003
CE10836,CE35336,0.056231003
CE10846,CE35336,0.0503144654
CE10847,CE35336,0.056231003
CE10848,CE35336,0.056231003
CE10849,CE35336,0.056231003
CE10865,CE35336,0.0638297872
CE11349,CE35336,0.0639032815
CE16688,CE35336,0.0547112462
CE16864,CE35336,0.056231003
CE16866,CE35336,0.056231003
CE17759,CE35336,0.0623100304
CE18811,CE35336,0.0547112462
CE19894,CE35336,0
CE19895,CE35336,0
CE19900,CE35336,0.0015197568
CE19902,CE35336,0
CE2714,CE35336,0.0623100304
CE2715,CE35336,0.0623100304
CE27739,CE35336,0.0607902736
CE30774,CE35336,0.0607902736
CE3121,CE35336,0
CE31633,CE35336,0.0015197568
CE31676,CE35336,0.0668693009
CE3236,CE35336,0.1550151976
CE10522,CE35337,0.0623100304
CE10523,CE35337,0.0623100304
CE10784,CE35337,0.056231003
CE10836,CE35337,0.056231003
CE10846,CE35337,0.0503144654
CE10847,CE35337,0.056231003
CE10848,CE35337,0.056231003
CE10849,CE35337,0.056231003
CE10865,CE35337,0.0638297872
CE11349,CE35337,0.0639032815
CE16688,CE35337,0.0547112462
CE16864,CE35337,0.056231003
CE16866,CE35337,0.056231003
CE17759,CE35337,0.0623100304
CE18811,CE35337,0.0547112462
CE19894,CE35337,0
CE19895,CE35337,0
CE19900,CE35337,0.0015197568
CE19902,CE35337,0
CE2714,CE35337,0.0623100304
CE2715,CE35337,0.0623100304
CE27739,CE35337,0.0607902736
CE30774,CE35337,0.0607902736
CE3121,CE35337,0
CE31633,CE35337,0.0015197568
CE31676,CE35337,0.0668693009
CE3236,CE35337,0.1550151976
CE35336,CE35337,0
CE10522,CE35393,0.0501519757
CE10523,CE35393,0.0501519757
CE10784,CE35393,0.0121580547
CE10836,CE35393,0.0121580547
CE10846,CE35393,0.0125786164
CE10847,CE35393,0.0121580547
CE10848,CE35393,0.0121580547
CE10849,CE35393,0.0121580547
CE10865,CE35393,0.0516717325
CE11349,CE35393,0.0569948187
CE16688,CE35393,0.0106382979
CE16864,CE35393,0.0121580547
CE16866,CE35393,0.0121580547
CE17759,CE35393,0.0531914894
CE18811,CE35393,0.0106382979
CE19894,CE35393,0.0653495441
CE19895,CE35393,0.0653495441
CE19900,CE35393,0.0668693009
CE19902,CE35393,0.0613496933
CE2714,CE35393,0.0531914894
CE2715,CE35393,0.0531914894
CE27739,CE35393,0.0486322188
CE30774,CE35393,0.0136778116
CE3121,CE35393,0.0653495441
CE31633,CE35393,0.0668693009
CE31676,CE35393,0.0577507599
CE3236,CE35393,0.1550151976
CE35336,CE35393,0.0653495441
CE35337,CE35393,0.0653495441
CE10522,CE35727,0.0440729483
CE10523,CE35727,0.0440729483
CE10784,CE35727,0.0030395137
CE10836,CE35727,0.0030395137
CE10846,CE35727,0.0031446541
CE10847,CE35727,0.0030395137
CE10848,CE35727,0.0030395137
CE10849,CE35727,0.0030395137
CE10865,CE35727,0.0455927052
CE11349,CE35727,0.0500863558
CE16688,CE35727,0.0015197568
CE16864,CE35727,0.0030395137
CE16866,CE35727,0
CE17759,CE35727,0.047112462
CE18811,CE35727,0.0015197568
CE19894,CE35727,0.056231003
CE19895,CE35727,0.056231003
CE19900,CE35727,0.0577507599
CE19902,CE35727,0.0521472393
CE2714,CE35727,0.047112462
CE2715,CE35727,0.047112462
CE27739,CE35727,0.0425531915
CE30774,CE35727,0.0075987842
CE3121,CE35727,0.056231003
CE31633,CE35727,0.0577507599
CE31676,CE35727,0.0516717325
CE3236,CE35727,0.1565349544
CE35336,CE35727,0.056231003
CE35337,CE35727,0.056231003
CE35393,CE35727,0.0121580547
CE10522,CE35728,0.0431309904
CE10523,CE35728,0.0431309904
CE10784,CE35728,0.0015974441
CE10836,CE35728,0.0015974441
CE10846,CE35728,0.0015974441
CE10847,CE35728,0.0015974441
CE10848,CE35728,0.0015974441
CE10849,CE35728,0.0015974441
CE10865,CE35728,0.0447284345
CE11349,CE35728,0.0493601463
CE16688,CE35728,0
CE16864,CE35728,0.0015974441
CE16866,CE35728,0
CE17759,CE35728,0.0463258786
CE18811,CE35728,0
CE19894,CE35728,0.0495207668
CE19895,CE35728,0.0495207668
CE19900,CE35728,0.0495207668
CE19902,CE35728,0.0495207668
CE2714,CE35728,0.0463258786
CE2715,CE35728,0.0463258786
CE27739,CE35728,0.0415335463
CE30774,CE35728,0.0047923323
CE3121,CE35728,0.0495207668
CE31633,CE35728,0.0511182109
CE31676,CE35728,0.0511182109
CE3236,CE35728,0.1565495208
CE35336,CE35728,0.0495207668
CE35337,CE35728,0.0495207668
CE35393,CE35728,0.0111821086
CE35727,CE35728,0
CE10522,CE35729,0.0448717949
CE10523,CE35729,0.0448717949
CE10784,CE35729,0
CE10836,CE35729,0.0032051282
CE10846,CE35729,0
CE10847,CE35729,0
CE10848,CE35729,0
CE10849,CE35729,0.0032051282
CE10865,CE35729,0.046474359
CE11349,CE35729,0.0513761468
CE16688,CE35729,0.0016025641
CE16864,CE35729,0.0032051282
CE16866,CE35729,0.0016025641
CE17759,CE35729,0.0480769231
CE18811,CE35729,0.0016025641
CE19894,CE35729,0.0512820513
CE19895,CE35729,0.0512820513
CE19900,CE35729,0.0512820513
CE19902,CE35729,0.0512820513
CE2714,CE35729,0.0480769231
CE2715,CE35729,0.0480769231
CE27739,CE35729,0.0432692308
CE30774,CE35729,0.0064102564
CE3121,CE35729,0.0512820513
CE31633,CE35729,0.0528846154
CE31676,CE35729,0.0528846154
CE3236,CE35729,0.1586538462
CE35336,CE35729,0.0512820513
CE35337,CE35729,0.0512820513
CE35393,CE35729,0.0128205128
CE35727,CE35729,0.0016025641
CE35728,CE35729,0.0016025641
CE10522,CE36236,0.0501519757
CE10523,CE36236,0.0501519757
CE10784,CE36236,0.0030395137
CE10836,CE36236,0.0060790274
CE10846,CE36236,0
CE10847,CE36236,0.0030395137
CE10848,CE36236,0.0030395137
CE10849,CE36236,0.0060790274
CE10865,CE36236,0.0516717325
CE11349,CE36236,0.0569948187
CE16688,CE36236,0.0045592705
CE16864,CE36236,0.0060790274
CE16866,CE36236,0.0060790274
CE17759,CE36236,0.0531914894
CE18811,CE36236,0.0045592705
CE19894,CE36236,0.0592705167
CE19895,CE36236,0.0592705167
CE19900,CE36236,0.0607902736
CE19902,CE36236,0.0552147239
CE2714,CE36236,0.0531914894
CE2715,CE36236,0.0531914894
CE27739,CE36236,0.0486322188
CE30774,CE36236,0.0075987842
CE3121,CE36236,0.0592705167
CE31633,CE36236,0.0607902736
CE31676,CE36236,0.0577507599
CE3236,CE36236,0.1565349544
CE35336,CE36236,0.0592705167
CE35337,CE36236,0.0592705167
CE35393,CE36236,0.0151975684
CE35727,CE36236,0.0060790274
CE35728,CE36236,0.0015974441
CE35729,CE36236,0
CE10522,CE36237,0.0455927052
CE10523,CE36237,0.0455927052
CE10784,CE36237,0.0075987842
CE10836,CE36237,0.0075987842
CE10846,CE36237,0.0062893082
CE10847,CE36237,0.0075987842
CE10848,CE36237,0.0075987842
CE10849,CE36237,0.0075987842
CE10865,CE36237,0.047112462
CE11349,CE36237,0.0518134715
CE16688,CE36237,0.0060790274
CE16864,CE36237,0.0075987842
CE16866,CE36237,0.0075987842
CE17759,CE36237,0.0486322188
CE18811,CE36237,0.0060790274
CE19894,CE36237,0.0607902736
CE19895,CE36237,0.0607902736
CE19900,CE36237,0.0623100304
CE19902,CE36237,0.0567484663
CE2714,CE36237,0.0486322188
CE2715,CE36237,0.0486322188
CE27739,CE36237,0.0440729483
CE30774,CE36237,0
CE3121,CE36237,0.0607902736
CE31633,CE36237,0.0623100304
CE31676,CE36237,0.0531914894
CE3236,CE36237,0.1550151976
CE35336,CE36237,0.0607902736
CE35337,CE36237,0.0607902736
CE35393,CE36237,0.0136778116
CE35727,CE36237,0.0075987842
CE35728,CE36237,0.0047923323
CE35729,CE36237,0.0064102564
CE36236,CE36237,0.0075987842
CE10522,CE36239,0.0446570973
CE10523,CE36239,0.0446570973
CE10784,CE36239,0
CE10836,CE36239,0.0031897927
CE10846,CE36239,0
CE10847,CE36239,0
CE10848,CE36239,0
CE10849,CE36239,0.0031897927
CE10865,CE36239,0.0462519936
CE11349,CE36239,0.0510948905
CE16688,CE36239,0.0015948963
CE16864,CE36239,0.0031897927
CE16866,CE36239,0.0015948963
CE17759,CE36239,0.04784689
CE18811,CE36239,0.0015948963
CE19894,CE36239,0.0510366826
CE19895,CE36239,0.0510366826
CE19900,CE36239,0.0510366826
CE19902,CE36239,0.0510366826
CE2714,CE36239,0.04784689
CE2715,CE36239,0.04784689
CE27739,CE36239,0.043062201
CE30774,CE36239,0.0063795853
CE3121,CE36239,0.0510366826
CE31633,CE36239,0.0526315789
CE31676,CE36239,0.0526315789
CE3236,CE36239,0.1578947368
CE35336,CE36239,0.0510366826
CE35337,CE36239,0.0510366826
CE35393,CE36239,0.0127591707
CE35727,CE36239,0.0015948963
CE35728,CE36239,0.0015974441
CE35729,CE36239,0
CE36236,CE36239,0
CE36237,CE36239,0.0063795853
CE10522,CE36240,0.047112462
CE10523,CE36240,0.047112462
CE10784,CE36240,0.009118541
CE10836,CE36240,0.009118541
CE10846,CE36240,0.0062893082
CE10847,CE36240,0.009118541
CE10848,CE36240,0.009118541
CE10849,CE36240,0.009118541
CE10865,CE36240,0.0486322188
CE11349,CE36240,0.0535405872
CE16688,CE36240,0.0075987842
CE16864,CE36240,0.009118541
CE16866,CE36240,0.009118541
CE17759,CE36240,0.0501519757
CE18811,CE36240,0.0075987842
CE19894,CE36240,0.0607902736
CE19895,CE36240,0.0607902736
CE19900,CE36240,0.0623100304
CE19902,CE36240,0.0567484663
CE2714,CE36240,0.0501519757
CE2715,CE36240,0.0501519757
CE27739,CE36240,0.0455927052
CE30774,CE36240,0.0030395137
CE3121,CE36240,0.0607902736
CE31633,CE36240,0.0623100304
CE31676,CE36240,0.0547112462
CE3236,CE36240,0.1565349544
CE35336,CE36240,0.0607902736
CE35337,CE36240,0.0607902736
CE35393,CE36240,0.0151975684
CE35727,CE36240,0.009118541
CE35728,CE36240,0.0047923323
CE35729,CE36240,0.0064102564
CE36236,CE36240,0.0106382979
CE36237,CE36240,0.0030395137
CE36239,CE36240,0.0063795853
CE10522,CE36241,0.047112462
CE10523,CE36241,0.047112462
CE10784,CE36241,0
CE10836,CE36241,0.0030395137
CE10846,CE36241,0
CE10847,CE36241,0
CE10848,CE36241,0
CE10849,CE36241,0.0030395137
CE10865,CE36241,0.0486322188
CE11349,CE36241,0.0535405872
CE16688,CE36241,0.0015197568
CE16864,CE36241,0.0030395137
CE16866,CE36241,0.0030395137
CE17759,CE36241,0.0501519757
CE18811,CE36241,0.0015197568
CE19894,CE36241,0.056231003
CE19895,CE36241,0.056231003
CE19900,CE36241,0.0577507599
CE19902,CE36241,0.0521472393
CE2714,CE36241,0.0501519757
CE2715,CE36241,0.0501519757
CE27739,CE36241,0.0455927052
CE30774,CE36241,0.0075987842
CE3121,CE36241,0.056231003
CE31633,CE36241,0.0577507599
CE31676,CE36241,0.0547112462
CE3236,CE36241,0.1565349544
CE35336,CE36241,0.056231003
CE35337,CE36241,0.056231003
CE35393,CE36241,0.0121580547
CE35727,CE36241,0.0030395137
CE35728,CE36241,0.0015974441
CE35729,CE36241,0
CE36236,CE36241,0.0030395137
CE36237,CE36241,0.0075987842
CE36239,CE36241,0
CE36240,CE36241,0.009118541
CE10522,CE36242,0.0455927052
CE10523,CE36242,0.0455927052
CE10784,CE36242,0.0015197568
CE10836,CE36242,0.0015197568
CE10846,CE36242,0.001572327
CE10847,CE36242,0.0015197568
CE10848,CE36242,0.0015197568
CE10849,CE36242,0.0015197568
CE10865,CE36242,0.047112462
CE11349,CE36242,0.0518134715
CE16688,CE36242,0
CE16864,CE36242,0.0015197568
CE16866,CE36242,0.0015197568
CE17759,CE36242,0.0486322188
CE18811,CE36242,0
CE19894,CE36242,0.0547112462
CE19895,CE36242,0.0547112462
CE19900,CE36242,0.056231003
CE19902,CE36242,0.0506134969
CE2714,CE36242,0.0486322188
CE2715,CE36242,0.0486322188
CE27739,CE36242,0.0440729483
CE30774,CE36242,0.0060790274
CE3121,CE36242,0.0547112462
CE31633,CE36242,0.056231003
CE31676,CE36242,0.0531914894
CE3236,CE36242,0.1550151976
CE35336,CE36242,0.0547112462
CE35337,CE36242,0.0547112462
CE35393,CE36242,0.0106382979
CE35727,CE36242,0.0015197568
CE35728,CE36242,0
CE35729,CE36242,0.0016025641
CE36236,CE36242,0.0045592705
CE36237,CE36242,0.0060790274
CE36239,CE36242,0.0015948963
CE36240,CE36242,0.0075987842
CE36241,CE36242,0.0015197568
CE10522,CE36244,0.0461049285
CE10523,CE36244,0.0461049285
CE10784,CE36244,0.0031796502
CE10836,CE36244,0.0031796502
CE10846,CE36244,0.0032948929
CE10847,CE36244,0.0031796502
CE10848,CE36244,0.0031796502
CE10849,CE36244,0.0031796502
CE10865,CE36244,0.0461049285
CE11349,CE36244,0.0500863558
CE16688,CE36244,0.0015898251
CE16864,CE36244,0.0031796502
CE16866,CE36244,0
CE17759,CE36244,0.0492845787
CE18811,CE36244,0.0015898251
CE19894,CE36244,0.0588235294
CE19895,CE36244,0.0588235294
CE19900,CE36244,0.0604133545
CE19902,CE36244,0.0545746388
CE2714,CE36244,0.0492845787
CE2715,CE36244,0.0492845787
CE27739,CE36244,0.0445151033
CE30774,CE36244,0.0079491256
CE3121,CE36244,0.0588235294
CE31633,CE36244,0.0588235294
CE31676,CE36244,0.0524642289
CE3236,CE36244,0.1558028617
CE35336,CE36244,0.0588235294
CE35337,CE36244,0.0588235294
CE35393,CE36244,0.012718601
CE35727,CE36244,0
CE35728,CE36244,0
CE35729,CE36244,0.0016806723
CE36236,CE36244,0.0063593005
CE36237,CE36244,0.0079491256
CE36239,CE36244,0.0016722408
CE36240,CE36244,0.0095389507
CE36241,CE36244,0.0031796502
CE36242,CE36244,0.0015898251
CE10522,CE3745,0.047112462
CE10523,CE3745,0.047112462
CE10784,CE3745,0
CE10836,CE3745,0.0030395137
CE10846,CE3745,0
CE10847,CE3745,0
CE10848,CE3745,0
CE10849,CE3745,0.0030395137
CE10865,CE3745,0.0486322188
CE11349,CE3745,0.0535405872
CE16688,CE3745,0.0015197568
CE16864,CE3745,0.0030395137
CE16866,CE3745,0.0030395137
CE17759,CE3745,0.0501519757
CE18811,CE3745,0.0015197568
CE19894,CE3745,0.056231003
CE19895,CE3745,0.056231003
CE19900,CE3745,0.0577507599
CE19902,CE3745,0.0521472393
CE2714,CE3745,0.0501519757
CE2715,CE3745,0.0501519757
CE27739,CE3745,0.0455927052
CE30774,CE3745,0.0075987842
CE3121,CE3745,0.056231003
CE31633,CE3745,0.0577507599
CE31676,CE3745,0.0547112462
CE3236,CE3745,0.1565349544
CE35336,CE3745,0.056231003
CE35337,CE3745,0.056231003
CE35393,CE3745,0.0121580547
CE35727,CE3745,0.0030395137
CE35728,CE3745,0.0015974441
CE35729,CE3745,0
CE36236,CE3745,0.0030395137
CE36237,CE3745,0.0075987842
CE36239,CE3745,0
CE36240,CE3745,0.009118541
CE36241,CE3745,0
CE36242,CE3745,0.0015197568
CE36244,CE3745,0.0031796502
CE10522,CE3750,0.047112462
CE10523,CE3750,0.047112462
CE10784,CE3750,0
CE10836,CE3750,0.0030395137
CE10846,CE3750,0
CE10847,CE3750,0
CE10848,CE3750,0
CE10849,CE3750,0.0030395137
CE10865,CE3750,0.0486322188
CE11349,CE3750,0.0535405872
CE16688,CE3750,0.0015197568
CE16864,CE3750,0.0030395137
CE16866,CE3750,0.0030395137
CE17759,CE3750,0.0501519757
CE18811,CE3750,0.0015197568
CE19894,CE3750,0.056231003
CE19895,CE3750,0.056231003
CE19900,CE3750,0.0577507599
CE19902,CE3750,0.0521472393
CE2714,CE3750,0.0501519757
CE2715,CE3750,0.0501519757
CE27739,CE3750,0.0455927052
CE30774,CE3750,0.0075987842
CE3121,CE3750,0.056231003
CE31633,CE3750,0.0577507599
CE31676,CE3750,0.0547112462
CE3236,CE3750,0.1565349544
CE35336,CE3750,0.056231003
CE35337,CE3750,0.056231003
